Código;Descrição;Medida;LEVER;UPGRADE;Unificado;Observação
280013;DESINCRUSTANTE CONC. SANIT CLEAN 05LT-MERCOTEC;BB;-47;N;-47;Descrição do produto está diferente.
280014;SULFATO DE ALUMINIO PO 2KG - HIDROAZUL;UN;0;0;0;
280015;LIMPA ALUMINIO AZUL LT - SERLIMQ;LT;-19;-6;-25;
280016;LIMPADOR E POLIDOR INOX OXY BLUE LT - MERCOTECH;LT;-16;N;-16;Descrição do produto está diferente.
280016;POLIDOR OXY BLUE LT - MERCOTECH;UN;N;3;3;Descrição do produto está diferente.
290001;IRONIN REMOVEDOR, 05LT - INSERT;BB;0;0;0;
290002;INCIF DESENG. FORNOS E GRELHAS, 05LT-INSERT;BB;0;0;0;
290003;SANITIZANTE FRUTAS E VERDURA, SC 01KG-DUCHEF;BD;N;-70;-70;Descrição do produto está diferente.
290003;SANITIZANTE FRUTAS E VERDURA, SC 01KG-DUCHEF - MMV;BD;55;N;55;Descrição do produto está diferente.
290004;TIRA FERRUGEM (REMOTEC)  05LT - TECNOLAR;BB;N;0;0;Descrição do produto está diferente.
290004;TIRA FERRUGEM 05LT - TECNOLAR;BB;2;N;2;Descrição do produto está diferente.
290005;VEG SANITIZ FUTAS E VERDURAS, BD 03 KG - MERCOTECH;UN;-1;N;-1;Descrição do produto está diferente.
290005;VEG SANITIZANTE DE VERDURAS, BD 03 KG - MERCOTECH;BD;N;0;0;Descrição do produto está diferente.
300001;TOUCA TNT CLIPADA PCT C/100 UN - DESCARPACK;UN;-98;62;-36;
300002;MASCARA PFF2 S AZUL S/VALULA;UN;-164;N;-164;Descrição do produto está diferente.
300002;MASCARA PFF2 S AZUL S/VALULA - PLASTCOR;UN;N;-402;-402;Descrição do produto está diferente.
300003;MASCARA DESC.BRANCA MODELO TIPO OVO;CX;0;0;0;
300004;BALAO ASSOPRAR SAO ROQUE PCT C/50;UN;0;0;0;
300005;MASCARA TNT DESCARTAVEL CX C/50 UN - VOLK;UN;-198;-61;-259;
300006;TOUCA BRANCA DESCART. PCT. C/100UN - VOLK;PCT;N;-183;-183;Descrição do produto está diferente.
300006;TOUCA TNT DESCARTAVEL PCT. C/100 - VOLK;PCT;67;N;67;Descrição do produto está diferente.
300007;PROPE CX C/100 PARES - DESCARPACK;UN;N;-2;-2;Descrição do produto está diferente.
300007;PROPE CX C/100 UNID - DESCARPACK;UN;-7;N;-7;Descrição do produto está diferente.
300008;MASCARA PO RESP. C/VALV- MASK FACE AIRSAFETY;UN;28;-105;-77;
300009;MASCARA CIRURGICA TRIPLA CX C/50UN - NOBRE;CX;-69;-9;-78;
32151900/1;TINTA P/CARIMBO AZUL 40ML - JAPAN;UN;N;-1;-1;Descrição do produto está diferente.
32151900/1;TINTA P/CARIMBO PTA 40ML;UN;11;N;11;Descrição do produto está diferente.
330001;PURIFICADOR DE AR 400ML- LEV&USE;UN;-1703;N;-1703;Descrição do produto está diferente.
330001;PURIFICADOR DE AR U. FRESH 400ML- LEV&USE;UN;N;-3533;-3533;Descrição do produto está diferente.
330002;PURIFICADOR REFIL 12ML LAVANDA - AIR WICK;UN;46;N;46;Descrição do produto está diferente.
330002;PURIFICADOR REFIL 12ML LAVANDA - GLADE;UN;N;-54;-54;Descrição do produto está diferente.
330003;PURIFICADOR SPRAY 90ML - ATOL;UN;209;-60;149;
330004;LUBRIFICANTE A.CORROSIVO LUBFAST 300ML- MUNDIAL;UN;89;-45;44;
330005;PURIFICADOR SPRAY ALFAZEMA 90ML;UN;24;0;24;
330006;PURIFICADOR DE AR 360ML  - GLADE;UN;13;0;13;
330007;PURIFICADOR DE AR 350ML CAPIM LIMAO - DOMLINE;UN;22;-3;19;
330008;PURIFICADOR DE AR 240ML PRIMAVERA - AIR NOBRE;UN;-2;0;-2;
330009;CREME DENTAL 90G - COLGATE;UN;0;0;0;
330010;CREME DE BARBEAR MENTOLADO 65G - BOZZANO;UN;0;0;0;
330011;PURIFICADOR DE AR 360ML  - AIR WICK;UN;0;N;0;Descrição do produto está diferente.
330011;PURIFICADOR DE AR 360ML  - BOM AR AIR WICK;UN;N;-196;-196;Descrição do produto está diferente.
330012;PURIFICADOR DE AR REFIL 250ML;UN;N;-98;-98;Descrição do produto está diferente.
330012;PURIFICADOR DE AR REFIL 250ML LAVANDA - BOM AR;UN;26;N;26;Descrição do produto está diferente.
330013;APARELHO PURIFICADOR DE AR C/ REFIL 12ML - DOMLINE;UN;-1;N;-1;Descrição do produto está diferente.
330013;PURIFICADOR DE AR APARELHO;UN;N;-4;-4;Descrição do produto está diferente.
33074900;APARELHO P/ PURIFICADOR GLEID C/REFIL DE 250ML;UN;-10;N;-10;Descrição do produto está diferente.
33074900;APARELHO PURIFICADOR DE AR C/REFIL 250ML-BOM AR;UN;N;-2;-2;Descrição do produto está diferente.
340001;SABAO EM PO SACHE 400 GR  - ALA;UN;-297;-844;-1141;
340002;SABAO BARRA GLICERINADO PCT. C/ 5X200G - MINUANO;UN;47;-153;-106;
340003;LIMPA VIDRO 500ML - DRAGAO;UN;49;N;49;Descrição do produto está diferente.
340003;LIMPA VIDRO 500ML - DRAGAO/POLITRIZ/TEIU;UN;N;-246;-246;Descrição do produto está diferente.
340004;SABAO EM PO MULT 400GR - OMO;SH;87;N;87;Descrição do produto está diferente.
340004;SABAO EM PO SACHE 400GR OMO MULT;SH;N;-102;-102;Descrição do produto está diferente.
340005;LIMPADOR PERF FLORAL, 05 LT, ZILAR;BB;0;0;0;
340006;LIMPADOR PERF JASMIN, 05 LT, ZILAR;BB;0;0;0;
340007;AROMATIZANTE TALCO, 05LT- LIZ;BB;0;0;0;
340008;LIMPADOR PERF LAVANDA 05 LT, ZILAR;BB;0;0;0;
340009;DETERGENTE 05LT - ATOL;BB;N;0;0;Descrição do produto está diferente.
340009;DETERGENTE NEUTRO 05LT - ATOL;BB;3;N;3;Descrição do produto está diferente.
340010;LIMPADOR DESENGRAXANTE PINHO GEL, 05 LT - ADHETECH;BB;0;0;0;
340011;AMONIN DETERGENTE LIQ AMONIACAL, 05LT - INSERT;BB;0;0;0;
340012;DETERGIN L DETERG.NEUTRO CONC.05LT- INSERT;BB;0;0;0;
